celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,week1_judge1_score,week1_judge2_score,week1_judge3_score,week1_judge4_score,week2_judge1_score,week2_judge2_score,week2_judge3_score,week2_judge4_score,week3_judge1_score,week3_judge2_score,week3_judge3_score,week3_judge4_score,week4_judge1_score,week4_judge2_score,week4_judge3_score,week4_judge4_score,week5_judge1_score,week5_judge2_score,week5_judge3_score,week5_judge4_score,week6_judge1_score,week6_judge2_score,week6_judge3_score,week6_judge4_score,week7_judge1_score,week7_judge2_score,week7_judge3_score,week7_judge4_score,week8_judge1_score,week8_judge2_score,week8_judge3_score,week8_judge4_score,week9_judge1_score,week9_judge2_score,week9_judge3_score,week9_judge4_score,week10_judge1_score,week10_judge2_score,week10_judge3_score,week10_judge4_score,week11_judge1_score,week11_judge2_score,week11_judge3_score,week11_judge4_score
Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,2,3rd Place,3,8,6,8,N/A,9,10,10,N/A,9,9,9,N/A,8,9,9,N/A,10,10,10,N/A,10,10,10,N/A,9,9,9.5,N/A,9.3333,9.6666,9.6666,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,2nd Place,2,7,7,7,N/A,7,8,8,N/A,7,6,6,N/A,8,8,8,N/A,7,8,8,N/A,8,7,8,N/A,7,7,6.5,N/A,9,9,8.6666,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Giselle Fernandez,Jonathan Roberts,News Anchor,,Mexico,44,2,Eliminated Week 3,8,7,8,8,N/A,8,8,8,N/A,7,8,7,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,2,Eliminated Week 4,7,4,4,4,N/A,6,5,5,N/A,6,4,4,N/A,4,2,2,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,2,1st Place,1,8,8,8,N/A,9,9,9,N/A,9,9,9,N/A,9,9,10,N/A,9,9,9,N/A,10,10,10,N/A,9.5,9,9,N/A,9.6666,9.6666,9.6666,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kenny Mayne,Andrea Hale,Sports Broadcaster,Washington,United States,46,2,Eliminated Week 1,10,4,5,4,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kate Flannery,Pasha Pashkov,Actor/Actress,Pennsylvania,United States,55,28,Eliminated Week 8,7,5,5,5,N/A,7,7,7,N/A,8,8,8,N/A,7,7,6,6,8,8,8,N/A,9,9,9,N/A,8,8,8,N/A,8.6666,8.6666,8.6666,N/A,0,0,0,0,0,0,0,N/A,0,0,0,N/A
James Van Der Beek,Emma Slater,Actor/Actress,Connecticut,United States,42,28,Eliminated Week 10,5,7,7,7,N/A,7,6,7,N/A,8,7,8,N/A,7,7,7,7,9,8,9,N/A,9,9,9,N/A,9,9,9,N/A,10.6666,10.6666,10.6666,N/A,9,8.5,9.5,9,8.5,8.5,8.5,N/A,0,0,0,N/A
Kel Mitchell,Witney Carson,Actor/Actress,Illinois,United States,41,28,2nd Place,2,6,5,5,N/A,7,6,7,N/A,7,6,7,N/A,8,8,8,8,9,8,9,N/A,9,8,9,N/A,8.5,8.5,8.5,N/A,9.6666,9.6666,10.6666,N/A,9,9,9.5,9.5,9.5,9.5,9.5,N/A,10,9.5,10,N/A
Ray Lewis,Cheryl Burke,Athlete,Florida,United States,44,28,Withdrew,11,5,5,5,N/A,5,5,5,N/A,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,N/A
Lamar Odom,Peta Murgatroyd,Athlete,New York,United States,39,28,Eliminated Week 4,10,5,3,3,N/A,4,4,4,N/A,4,4,4,N/A,5,7,4,4,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,N/A
Sailor Brinkley-Cook,Valentin Chmerkovskiy,Model,New York,United States,21,28,Eliminated Week 6,9,6,6,6,N/A,6,6,6,N/A,7,8,8,N/A,7,8,8,8,8,8,8,N/A,9,9,9,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,N/A
Sean Spicer,Lindsay Arnold,Politician,New York,United States,48,28,Eliminated Week 9,6,4,4,4,N/A,6,5,5,N/A,5,5,5,N/A,5,6,5,5,7,6,6,N/A,7,7,7,N/A,7,7,7,N/A,7,7,6,N/A,6.5,6,6.5,6,0,0,0,N/A,0,0,0,N/A
Mary Wilson,Brandon Armstrong,Singer/Rapper,Nevada,United States,75,28,Eliminated Week 2,12,6,5,6,N/A,5,5,5,N/A,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,N/A
Lauren Alaina,Gleb Savchenko,Singer/Rapper,Georgia,United States,24,28,4th Place,4,7,6,6,N/A,6,6,7,N/A,6,7,7,N/A,8,8,8,8,8,7,8,N/A,9,8,9,N/A,9,9,9,N/A,8,8,8,N/A,9,9,8.5,8.5,9,9,9,N/A,9.5,9.5,9.5,N/A
Ally Brooke,Sasha Farber,Singer/Rapper,Texas,United States,26,28,3rd Place,3,5,5,6,N/A,7,6,7,N/A,8,8,8,N/A,8,8,8,8,9,9,9,N/A,8,9,8,N/A,9,9,9,N/A,10,10,10,N/A,10,10,10,10,10,9.5,10,N/A,10,10,10,N/A
Karamo Brown,Jenna Johnson,TV Personality,Texas,United States,38,28,Eliminated Week 7,8,6,5,6,N/A,7,5,7,N/A,5,5,6,N/A,7,7,7,7,7,7,7,N/A,9,8,8,N/A,8.5,8,8,N/A,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,N/A
Hannah Brown,Alan Bersten,TV Personality,Alabama,United States,24,28,1st Place,1,7,7,6,N/A,8,8,8,N/A,7,7,7,N/A,8,8,8,8,9,7,9,N/A,8,8,8,N/A,8.5,9,8.5,N/A,10.6666,9.6666,10.6666,N/A,9,8.5,9,9,9,9,9,N/A,10,9.5,9.5,N/A
Anne Heche,Keo Motsepe,Actor/Actress,Ohio,United States,51,29,Eliminated Week 4,13,6,6,6,N/A,6,6,6,N/A,5,5,5,N/A,7,7,7,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A
Jesse Metcalfe,Sharna Burgess,Actor/Actress,California,United States,41,29,Eliminated Week 5,12,6,6,6,N/A,7,7,6,N/A,7,6,7,N/A,7,7,7,N/A,7,6,6,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A
Chrishell Stause,Gleb Savchenko,Actor/Actress,Kentucky,United States,39,29,Eliminated Week 8,8,4,5,4,N/A,6,6,6,N/A,7,7,8,N/A,7,8,7,N/A,6,6,7,N/A,8,8,8,N/A,9,9,8,N/A,9,9,9,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A
Skai Jackson,Alan Bersten,Actor/Actress,New York,United States,18,29,Eliminated Week 10,5,7,7,7,N/A,5,5,5,N/A,6,6,6,N/A,10,9,9,N/A,8,8,8,N/A,6,6,6,N/A,9,9,9,N/A,8.6666,9.6666,8.6666,N/A,9.6666,9.6666,9.6666,N/A,9.5,9.5,9.5,N/A,0,0,0,N/A
Justina Machado,Sasha Farber,Actor/Actress,Illinois,United States,48,29,4th Place,4,7,7,7,N/A,7,7,7,N/A,7,6,6,N/A,8,8,8,N/A,8,8,8,N/A,9,9,9,N/A,9,9,8,N/A,9.6666,9.6666,9.6666,N/A,8.6666,8.6666,8.6666,N/A,9.5,10,9.5,N/A,10,10,10,N/A
Charles Oakley,Emma Slater,Athlete,Ohio,United States,56,29,Eliminated Week 2,15,4,4,4,N/A,5,5,5,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A
Veron Davis,Peta Murgatroyd,Athlete,Washington D.C.,United States,36,29,Eliminated Week 6,11,5,6,6,N/A,6,6,6,N/A,8,7,7,N/A,8,7,7,N/A,7,7,7,N/A,7,7,7,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A
Johnny Weir,Britt Stewart,Athlete,Pennsylvania,United States,36,29,Eliminated Week 10,6,6,6,6,N/A,6,6,6,N/A,8,8,8,N/A,8,8,8,N/A,10,10,9,N/A,7,8,7,N/A,9,9,9,N/A,10,10,10,N/A,10,10,10,N/A,9.5,9.5,9.5,N/A,0,0,0,N/A
Nev Schulman,Jenna Johnson,Producer,New York,United States,35,29,2nd Place,2,7,7,6,N/A,7,7,7,N/A,8,8,8,N/A,8,8,8,N/A,8,9,9,N/A,9,9,8,N/A,10,10,10,N/A,10,10,10,N/A,9.6666,9.6666,9.6666,N/A,10,10,10,N/A,10,10,10,N/A
AJ McLean,Cheryl Burke,Singer/Rapper,Florida,United States,42,29,Eliminated Week 9,7,6,6,6,N/A,7,6,6,N/A,7,7,7,N/A,8,8,8,N/A,8,8,8,N/A,9,9,9,N/A,9,8,9,N/A,9,9,9,N/A,7.6666,8.6666,8.6666,N/A,0,0,0,N/A,0,0,0,N/A
Nelly,Daniella Karagach,Singer/Rapper,Texas,United States,45,29,3rd Place,3,5,5,6,N/A,6,6,6,N/A,6,6,6,N/A,7,7,7,N/A,8,8,8,N/A,8,8,8,N/A,9,9,9,N/A,8,8,8,N/A,8,8,8,N/A,9.5,9,9.5,N/A,9.5,9.5,9.5,N/A
Kaitlyn Bristowe,Artem Chigvintsev,TV Personality,,Canada,35,29,1st Place,1,6,7,7,N/A,7,8,7,N/A,8,7,8,N/A,9,8,8,N/A,9,9,9,N/A,9,9,9,N/A,7,9,8,N/A,9,10,9,N/A,10,10,10,N/A,10,10,10,N/A,10,10,10,N/A
Carole Baskin,Pasha Pashkov,TV Personality,Texas,United States,59,29,Eliminated Week 3,14,4,4,3,N/A,6,5,5,N/A,5,4,3,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A
Monica Aldama,Valentin Chmerkovskiy,TV Personality,Alabama,United States,48,29,Eliminated Week 7,10,6,7,6,N/A,5,6,5,N/A,7,7,7,N/A,8,8,8,N/A,9,9,8,N/A,9,9,9,N/A,7,8,7,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A
Jeannie Mai,Brandon Armstrong,TV Personality,California,United States,41,29,Withdrew,9,6,6,6,N/A,6,6,6,N/A,7,7,8,N/A,7,7,7,N/A,8,8,8,N/A,8,8,9,N/A,8,9,8,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A
Martin Kove,Britt Stewart,Actor/Actress,New York,United States,75,30,Eliminated Week 2,15,4,3,3,3,4,3,4,4,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A
Brian Austin Green,Sharna Burgess,Actor/Actress,California,United States,48,30,Eliminated Week 4,13,6,6,6,6,6,5,6,6,7,6,6,N/A,6.5,6,7,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A
Melora Hardin,Artem Chigvintsev,Actor/Actress,Texas,United States,54,30,Eliminated Week 9,6,7,6,7,6,7,6,7,7,8,7,8,N/A,9,9.5,9,9,9,9,9,9,8,9,8,9,9.5,9.5,9.5,9.5,10.5,10.5,10.5,10.5,8.5,9.5,9,9,0,0,0,0,N/A,N/A,N/A,N/A
Matt James,Lindsay Arnold,Athlete,North Carolina,United States,29,30,Eliminated Week 4,12,6,6,6,6,5,5,6,6,7,6,7,N/A,7,6.5,7.5,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A
"Mike ""The Miz"" Mizanin",Witney Carson,Athlete,Ohio,United States,40,30,Eliminated Week 7,9,6,6,6,6,7,5,7,7,7,7,8,N/A,8.5,7.5,8.5,8,8,8,8,8,9,8,9,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A
Suni Lee,Sasha Farber,Athlete,Minnesota,United States,18,30,Eliminated Week 9,5,7,7,7,7,7,7,7,7,7,7,7,N/A,8.5,8,9,8.5,9,9,9,9,9,9,9,9,8.25,8.25,8.25,9.25,10.5,10.5,10.5,10.5,10,9,9.5,9,0,0,0,0,N/A,N/A,N/A,N/A
Iman Shumpert,Daniella Karagach,Athlete,Illinois,United States,31,30,1st Place,1,7,4,5,5,7,6,6,6,7,6,6,N/A,8.5,6.5,8.5,8,7,7,7,7,10,10,10,10,9.5,7.5,8.5,8.5,9,8,9,9,9.5,9,10,9,10,10,10,10,N/A,N/A,N/A,N/A
Cody Rigsby,Cheryl Burke,Fitness Instructor,California,United States,34,30,3rd Place,3,6,6,6,6,6,6,6,6,6,6,6,N/A,7.5,6.5,7.5,7.5,8,8,8,8,9,9,9,9,8.5,8.5,9.5,9.5,10,10,9,9,9,9,8.5,9,9.5,9.5,9.5,9.5,N/A,N/A,N/A,N/A
Melanie C,Gleb Savchenko,Singer/Rapper,,England,47,30,Eliminated Week 5,11,7,7,6,7,7,7,8,8,7,7,8,N/A,8,8,8.5,8.5,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A
Jimmie Allen,Emma Slater,Singer/Rapper,Delaware,United States,36,30,Eliminated Week 8,7,6,5,6,5,7,6,7,7,6,6,8,N/A,8.5,7.5,8.5,8,8,8,9,9,10,9,10,9,9,9,10,10,8,8,8,8,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A
Olivia Jade,Valentin Chmerkovskiy,Social Media Personality,California,United States,21,30,Eliminated Week 8,8,7,6,6,6,7,6,7,7,8,8,8,N/A,8,9,9,9,9,9,9,9,9,9,9,9,11,9,11,11,9,9,9,9,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A
JoJo Siwa,Jenna Johnson,Social Media Personality,Nebraska,United States,18,30,2nd Place,2,8,7,7,7,8,8,7,8,8,8,8,N/A,8.5,8.5,9,9,10,10,10,10,10,10,10,10,10,9,10,10,10.5,9.5,10.5,10.5,10,10,10,10,10,10,10,10,N/A,N/A,N/A,N/A
Christine Chiu,Pasha Pashkov,TV Personality,,Taiwan China,38,30,Eliminated Week 3,14,6,7,6,6,6,6,6,6,7,7,7,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A
Kenya Moore,Brandon Armstrong,TV Personality,Michigan,United States,50,30,Eliminated Week 6,10,7,6,6,7,6,6,6,6,7,7,7,N/A,7,7,8,7.5,9,9,9,9,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A
Amanda Kloots,Alan Bersten,TV Personality,Ohio,United States,39,30,4th Place,4,7,7,7,7,8,8,8,8,8,8,8,N/A,8.5,8.5,8.5,8.5,10,10,9,10,9,9,10,10,8.25,8.25,8.25,9.25,10.5,10.5,10.5,10.5,9.5,10,10,10,9.5,10,9.5,10,N/A,N/A,N/A,N/A
Jason Lewis,Peta Murgatroyd,Actor/Actress,California,United States,51,31,Eliminated Week 1,16,5,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A
Cheryl Ladd,Louis van Amstel,Actor/Actress,South Dakota,United States,71,31,Eliminated Week 3,14,6,5,5,5,5,6,5,5,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A
Selma Blair,Sasha Farber,Actor/Actress,Michigan,United States,50,31,Withdrew,12,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A
Joseph Baena,Daniella Karagach,Actor/Actress,California,United States,24,31,Eliminated Week 5,11,6,5,6,6,6,6,6,6,8,7,7,7,7,7,7,7,9,8.5,9,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A
Trevor Donovan,Emma Slater,Actor/Actress,California,United States,39,31,Eliminated Week 9,6,5,5,5,6,7,7,8,8,7,6,7,7,7,7,7,7,9,9,9,9,9,8,8,9,10,9,10,10,9.25,10.25,9.25,10.25,8.5,8,8,8,0,0,0,0,N/A,N/A,N/A,N/A
Daniel Durant,Britt Stewart,Actor/Actress,Michigan,United States,32,31,Eliminated Week 9,5,7,6,7,7,7,7,7,8,8,7,8,8,7,7,7,8,8.125,8.125,8.625,8.625,9,8,8,9,9,8.5,9.5,9.5,10,9,10,10,9,8,9,8.5,0,0,0,0,N/A,N/A,N/A,N/A
Wayne Brady,Witney Carson,Comedian,Georgia,United States,50,31,3rd Place,3,7,7,7,8,8,8,8,8,8,8,8,9,9,9,9,9,10.125,10.125,10.125,10.625,8,9,8,9,9.5,9,9.5,10,11.25,11.25,11.25,11.25,9.5,9,9,9,9.5,9.5,9.5,9.5,N/A,N/A,N/A,N/A
Sam Champion,Cheryl Burke,News Anchor,Kentucky,United States,61,31,Eliminated Week 4,13,5,5,5,5,6,6,7,7,6,6,6,7,7,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A
Jessie James Decker,Alan Bersten,Singer/Rapper,,Italy,34,31,Eliminated Week 6,10,5,5,5,5,7,6,6,6,6,6,7,7,8,7,8,8,8.875,8.875,9.375,8.875,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A
Jordin Sparks,Brandon Armstrong,Singer/Rapper,Arizona,United States,32,31,Eliminated Week 7,9,7,6,6,7,7,6,7,7,7,7,7,8,9,8,8,9,8.875,8.375,8.875,9.375,9,8,8,9,8.5,9,8.5,8.5,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A
Heidi D'Amelio,Artem Chigvintsev,Social Media Personality,Louisiana,United States,50,31,Eliminated Week 8,8,6,6,6,6,7,7,7,7,8,8,8,8,9,8,8,9,9.625,10.125,9.625,9.625,9,9,9,9,8.5,9,9,8.5,9,8,9,9,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A
Charli D'Amelio,Mark Ballas,Social Media Personality,Connecticut,United States,18,31,1st Place,1,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,10.375,10.375,10.375,10.875,10,10,10,10,9.5,9.5,10,10,11.25,11.25,11.25,11.25,10,10,10,10,10,10,10,10,N/A,N/A,N/A,N/A
Teresa Giudice,Pasha Pashkov,TV Personality,New Jersey,United States,50,31,Eliminated Week 2,15,5,5,5,5,6,5,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A
Vinny Guadagnino,Koko Iwasaki,TV Personality,New York,United States,34,31,Eliminated Week 8,7,4,4,5,4,7,6,7,7,6,5,6,6,8,7,7,7,7.75,7.75,7.75,7.75,7,7,7,7,7.5,8,8,8,8,7,7,7,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A
Shangela,Gleb Savchenko,TV Personality,Texas,United States,40,31,4th Place,4,7,7,7,7,7,7,7,7,8,7,7,8,8,8,8,8,9.75,9.25,9.75,9.75,9,9,9,9,9,9.5,9,9,11.25,10.25,10.25,10.25,9.5,9,9,9,9.5,9.5,9.5,9.5,N/A,N/A,N/A,N/A
Gabby Windey,Valentin Chmerkovskiy,TV Personality,Illinois,United States,31,31,2nd Place,2,7,7,7,7,8,8,8,8,8,8,8,9,9,9,9,9,10.25,10.25,10.25,10.25,9,9,9,10,9,9,8.5,9,10,10,10,10,10,10,10,10,10,10,10,10,N/A,N/A,N/A,N/A
Jamie Lynn Spears,Alan Bersten,Actor/Actress,Mississippi,United States,32,32,Eliminated Week 2,13,5,5,5,N/A,6,5,5,N/A,0,0,0,0,0,0,0,N/A,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,N/A
Mira Sorvino,Gleb Savchenko,Actor/Actress,New York,United States,55,32,Eliminated Week 5,10,6,5,6,N/A,6,6,6,N/A,6,6,7,7,7,7,7,N/A,7,8,7,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,N/A
Barry Williams,Peta Murgatroyd,Actor/Actress,California,United States,68,32,Eliminated Week 8,7,6,5,5,N/A,5,5,5,N/A,6,6,7,6,6,6,6,N/A,8,8,8,N/A,8.25,7.25,8.25,8.25,8,8,8.5,8,8.75,8.75,8.75,8.75,0,0,0,0,0,0,0,N/A,0,0,0,N/A
Alyson Hannigan,Sasha Farber,Actor/Actress,Washington D.C.,United States,49,32,5th Place,5,5,4,4,N/A,7,6,6,N/A,6,6,6,6,6,6,6,N/A,7,7,7,N/A,7.5,7.5,7.5,8.5,8.5,8.5,9.5,8.5,8.75,8.75,9.75,8.75,7.75,7.75,8.75,7.75,8.5,8.5,8.5,N/A,9,8.5,9,N/A
Xochitl Gomez,Valentin Chmerkovskiy,Actor/Actress,California,United States,17,32,1st Place,1,6,6,6,N/A,8,8,8,N/A,8,8,8,8,9,9,9,N/A,9,10,9,N/A,10.25,10.25,11.25,10.25,9.5,9,9.5,9,10,10,10,10,9.75,9.75,10.75,10.75,10,10,10,N/A,10,10,10,N/A
Adrian Peterson,Britt Stewart,Athlete,Texas,United States,38,32,Eliminated Week 4,11,6,6,6,N/A,5,5,5,N/A,5,5,6,6,7,7,7,N/A,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,N/A
